News Outlet,Date,Compound,Positive,Neutral,Negative,Tweet Count,Tweet Text
@BBCNews,Sat Mar 31 12:24:13 +0000 2018,0.4939,0.229,0.677,0.094,89,"RT @BBCWorld: David Warner apologises for his part in the ball-tampering scandal and says he has a ""tiny ray of hope"" he might play for Aus…"
@BBCNews,Sat Mar 31 11:55:53 +0000 2018,0.34,0.107,0.893,0.0,90,"RT @BBCPaulAdams: UK confirms Russian plane was searched at Heathrow yesterday. Security Minister Ben Wallace: ""It is routine for Border Fo…"
@BBCNews,Sat Mar 31 11:15:43 +0000 2018,0.0,0.0,1.0,0.0,91,Russian spy: UK considers request to visit Yulia Skripal https://t.co/8KzXGEbfLj
@BBCNews,Sat Mar 31 11:03:57 +0000 2018,0.0,0.0,1.0,0.0,92,What to expect from Saturday Night Takeaway as Dec hosts without Ant https://t.co/xkWPwyu7Ju
@BBCNews,Sat Mar 31 10:13:13 +0000 2018,-0.6412,0.077,0.638,0.285,93,RT @BBCBreaking: Russia more than doubles number of UK diplomats expelled in spy poisoning row https://t.co/oGWaFQPLcW
@BBCNews,Sat Mar 31 10:02:05 +0000 2018,0.93,0.58,0.42,0.0,94,RT @bbcthree: The amazing deaf dancer sharing his love and passion with others https://t.co/LdHnu8Fmct
@BBCNews,Sat Mar 31 09:50:44 +0000 2018,-0.3182,0.0,0.887,0.113,95,"RT @BBCSport: Ray Wilkins' family are in our thoughts today.

He is in a critical condition in a London hospital.

https://t.co/SxsiCdakSo…"
@BBCNews,Sat Mar 31 09:50:13 +0000 2018,0.0,0.0,1.0,0.0,96,RT @bbcweather: Here's the latest rain/snow picture. Helen https://t.co/KY6ahMOBCr
@BBCNews,Sat Mar 31 09:45:11 +0000 2018,-0.3182,0.251,0.359,0.389,97,"RT @BBCWorld: Hate food waste, love beer? 🍞🍻 https://t.co/PVeDQIkm03"
@BBCNews,Sat Mar 31 09:34:38 +0000 2018,0.4019,0.231,0.769,0.0,98,Esther McVey: Saturday jobs help teenagers prepare for work https://t.co/ZdtW7SE0Ym
@BBCNews,Sat Mar 31 09:32:17 +0000 2018,0.2263,0.112,0.888,0.0,99,RT @BBCNewsNE: These lambs at @WhitehouseFarm have been knitted jumpers to keep warm 😍🐑 #HappyEaster https://t.co/Hf4dFf3wEi
@BBCNews,Sat Mar 31 08:58:26 +0000 2018,-0.4653,0.0,0.851,0.149,100,"RT @BBCSport: David Warner has said he is ""resigned to the fact"" he may never play for Australia again after his part in the ball-tampering…"
@CBS,Mon Apr 02 17:30:00 +0000 2018,0.1513,0.116,0.792,0.092,1,No one does it quite like @eltonofficial. The artist himself will belt out some of his chart-topping hits on Elton… https://t.co/ckY4bUvTXI
@CBS,Sun Apr 01 17:00:03 +0000 2018,0.6486,0.202,0.798,0.0,2,The Las Vegas strip is about to light up brighter than ever before when Country Music’s Party Of The Year® takes ov… https://t.co/j1A2ZVHAoO
@CBS,Sat Mar 31 18:00:00 +0000 2018,0.0,0.0,1.0,0.0,3,"“If you don’t do something about it, then who are you? … It can happen to anyone.” - @aplusk 

Tonight at 10/9c, a… https://t.co/EQabNc1UZI"
@CBS,Sat Mar 31 15:30:00 +0000 2018,0.4199,0.113,0.887,0.0,4,Give it up for @KelseaBallerini! This star is one of the Female Vocalist Of The Year nominees and she's ready to ta… https://t.co/wLyHwkEGs2
@CBS,Fri Mar 30 16:50:00 +0000 2018,0.4926,0.127,0.873,0.0,5,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP
@CBS,Thu Mar 29 17:32:40 +0000 2018,0.0,0.0,1.0,0.0,6,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv"
